[1] "names"
[1] "x"
    RELY DATA CPLX RUSE DOCU TIME STOR PVOL ACAP PCAP PCON APEX PLEX LTEX TOOL
1   1.00 1.14 1.00 0.95 1.00 1.00 1.00 0.87 0.85 0.88 0.81 1.00 1.00 1.00 1.00
2   1.00 1.14 1.00 0.95 1.00 1.00 1.00 0.87 0.85 0.88 0.81 1.00 1.00 1.00 1.00
3   1.10 0.90 1.17 1.07 1.11 1.00 1.00 0.87 1.00 1.00 1.12 1.00 1.00 1.00 1.00
4   1.00 0.90 0.87 1.07 1.00 1.00 1.00 1.00 1.00 1.00 0.90 1.10 1.09 1.19 0.90
5   1.00 1.00 1.00 1.15 0.91 1.00 1.00 0.87 0.85 0.88 0.81 1.10 1.09 1.00 0.78
6   1.00 0.90 1.00 1.00 1.00 1.00 1.00 0.87 1.00 0.88 0.90 1.00 1.00 0.91 1.00
7   0.92 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.10 1.00 1.09 1.09
8   1.26 1.14 1.17 1.07 1.00 1.00 1.00 0.87 0.85 1.00 0.81 1.10 1.09 1.00 1.09
9   1.00 0.90 1.00 1.00 1.00 1.00 1.00 0.87 1.00 0.88 0.90 1.10 1.00 1.19 1.00
10  1.10 1.14 1.00 0.95 1.00 1.00 1.05 0.87 0.85 1.15 1.12 0.88 1.09 1.09 1.00
11  1.10 1.00 1.00 1.07 1.00 1.00 1.00 0.87 1.00 1.00 0.81 1.10 1.00 1.09 1.00
12  0.92 0.90 0.87 0.95 1.00 1.00 1.00 0.87 1.00 1.00 0.81 0.88 1.00 0.91 1.09
13  1.00 0.90 0.87 1.00 1.00 1.00 1.05 1.00 1.00 1.15 0.81 1.10 1.00 1.00 1.00
14  1.00 0.90 0.87 0.95 0.91 1.00 1.00 0.87 0.71 0.76 1.29 0.88 1.00 0.91 0.90
15  1.00 0.90 1.00 0.95 1.00 1.00 1.05 0.87 0.85 0.88 0.81 1.00 1.00 1.00 0.90
16  1.00 0.90 1.00 0.95 1.00 1.00 1.05 0.87 1.00 1.00 1.29 1.00 1.00 1.00 1.00
17  1.00 0.90 1.00 1.00 1.00 1.00 1.00 1.00 0.85 0.88 0.81 1.00 1.00 0.91 1.00
18  1.00 0.90 1.00 0.95 1.00 1.11 1.00 0.87 1.00 0.88 0.90 0.88 0.91 1.00 0.90
19  1.10 1.14 1.00 0.95 1.00 1.00 1.00 1.00 1.00 1.15 0.81 1.10 1.19 1.09 1.00
20  1.00 1.28 1.00 0.95 0.91 1.63 1.00 1.15 0.85 0.76 0.90 0.88 1.09 0.84 0.78
21  1.00 1.14 1.00 0.95 1.00 1.00 1.00 1.15 0.85 0.88 0.81 1.00 1.00 1.00 1.00
