RELY,DATA,CPLX,RUSE,PVOL,ACAP,APEX,RISK1,RISK2,RISK3,RISK4,RISK5
0.92,1,1,1.013325874,0.997635744,1.001287925,1.007915663,1,0,0,0,0
1,1,1,0.987399387,0.961466823,1.019526903,1.040087743,0,1,0,0,0
1.1,1,1,1.000022635,1.00433923,0.957812193,1.024253115,0,0,1,0,0
1.26,1,1,0.959965304,1.006954915,1.00814252,0.967589756,0,0,0,1,0
0.985973899,1,0.87,1.004440732,0.966243723,1.002343495,1.003158204,1,0,0,0,0
0.997429049,1,1,0.947463792,0.961310408,0.964868952,0.965790615,0,1,0,0,0
1.009262512,1,1.17,1.004529589,0.959831347,0.977705122,1.004127381,0,0,1,0,0
0.998840561,0.9,1.010021654,1.016004937,1.00875636,0.996988905,0.990304191,1,0,0,0,0
1.024042223,1,0.970713373,0.999661406,1.017517008,0.990533389,0.980681954,0,1,0,0,0
1.00494463,1.14,0.98997681,1.003456479,0.963161046,0.985330816,1.000133506,0,0,1,0,0
0.971486958,1.28,0.99842437,0.978773192,1.036309868,0.999867206,1.024503144,0,0,0,1,0
1.019510818,0.978502286,0.984139423,0.939341503,0.998209953,0.990317577,0.88,0,0,0,0,1
0.977547281,1.021848922,0.996398891,1.003597078,0.99077412,1.027443577,1,0,0,0,1,0
1.00106762,0.995884577,0.991187587,0.97203749,0.970318856,1.015404388,1.1,0,0,1,0,0
1.014302996,0.976206444,0.980995626,0.981356348,0.97402818,0.71,1,0,0,0,0,1
0.980889896,0.989267534,0.990182931,0.997367841,0.996713445,0.85,0.996929719,0,0,0,1,0
0.988512329,1.008167082,1.018593711,0.996747542,1.011107103,1,1.000734734,0,0,1,0,0
0.961711707,0.962857279,1.010432476,0.985785009,0.87,1.045017209,1.007028279,1,0,0,0,0
0.987802041,0.981778369,0.994419505,1.004707597,1,0.996192447,0.961094901,0,1,0,0,0
0.975379176,1.012438949,1.019578772,1,1.15,0.996400767,0.985785552,0,0,1,0,0
0.942190718,1.006503099,1.007101109,0.95,1,0.970228447,0.981937038,1,0,0,0,0
0.972604808,1.015937942,1.013097745,1,1,0.993678484,0.992997846,0,1,0,0,0
0.972767924,0.986209654,1.02879351,1.07,1,0.993508833,0.999398232,0,0,1,0,0
0.997272311,1.004026327,0.982203586,1.15,1,1.000063069,0.989929099,0,0,0,1,0
