"","CSmell","SVul","RELY","DATA","CPLX","RUSE","DOCU","TIME","STOR","PVOL","ACAP","PCAP","PCON","APEX","PLEX","LTEX","TOOL","SITE","SCED","AA","PR","ETT","FCR","CD","ISS","ISRR","DRR","RISK1","RISK2","RISK3","RISK4","RISK5"
"1",571.963645596003,12.9721568881925,1,1.14,1,0.95,1,1,1,0.87,0.85,0.88,0.81,1,1,1,1,1,1,0.7257377195054,1.02703267988584,1.15304125093479,296.259926358816,-538.154960182858,595.776665591359,510.426052790004,195.781859543907,0,0,0,1,0
"2",678.48856834906,18.2616451038744,1,1.14,1,0.95,1,1,1,0.87,0.85,0.88,0.81,1,1,1,1,1,1,0.903139842973885,0.891786267266979,0.740464184886272,-285.55448890818,246.826330714624,-134.224008427743,1034.03804118133,966.547500897618,0,0,0,0,1
"3",1232.40271388973,7.15559435597259,1.1,0.9,1.17,1.07,1.11,1,1,0.87,1,1,1.12,1,1,1,1,0.93,1,0.672589961043484,1.1017815711233,0.957756166850677,104.042434221338,577.299426050636,383.085947333596,1022.40327493043,-127.706476873538,1,0,0,0,0
"4",635.710242743472,43.2884307857646,1,0.9,0.87,1.07,1,1,1,1,1,1,0.9,1.1,1.09,1.19,0.9,0.93,1.43,1.22870966491257,0.89493582681829,0.766711259257964,-89.9014599456949,1221.91820874133,40.1989735736211,1038.39401616474,-1.60639927720158,0,1,0,0,0
"5",492.050355516463,31.3626719703658,1,1,1,1.15,0.91,1,1,0.87,0.85,0.88,0.81,1.1,1.09,1,0.78,0.8,1,1.11479477834185,1.18876532456408,0.990811855340031,-286.997359747223,-91.725804841227,-141.779945794414,1614.04749249837,-211.163576877459,0,0,0,1,0
"6",1271.54301290625,0.535570819838322,1,0.9,1,1,1,1,1,0.87,1,0.88,0.9,1,1,0.91,1,0.93,1,1.12762139723925,0.82596199501774,0.98067416548539,106.800097591085,-369.050357636844,-777.429901241557,1032.78659275061,-577.853194870398,0,0,0,1,0
"7",1675.59975402099,14.4531355858849,0.92,1,1,1,1,1,1,1,1,1,1,1.1,1,1.09,1.09,1,1,1.07286099490849,1.13306411109069,1.07106783246458,88.1604855387052,673.383552534583,51.6271466357112,22.9188487844555,-936.938971937891,0,0,0,1,0
"8",883.628104535159,42.84063119416,1.26,1.14,1.17,1.07,1,1,1,0.87,0.85,1,0.81,1.1,1.09,1,1.09,0.93,1,0.873161127603391,0.930809963244993,0.979036959565637,433.031821019723,-120.470091454111,44.2068503187609,1288.27374165098,-458.209411007671,1,0,0,0,0
"9",854.726030113961,29.1159075991555,1,0.9,1,1,1,1,1,0.87,1,0.88,0.9,1.1,1,1.19,1,0.93,1,0.853027150518026,0.910785701617622,1.19366057719524,-64.7894255967152,32.3381271710629,-852.747815020418,-42.9435920306059,582.720763819183,0,0,1,0,0
"10",905.127764258415,16.0046893573756,1.1,1.14,1,0.95,1,1,1.05,0.87,0.85,1.15,1.12,0.88,1.09,1.09,1,0.86,1,1.26305706081245,1.26070308306165,0.911908486923576,-1078.8024716174,454.985865631187,-427.929727690718,1052.70702203938,584.325246051759,0,1,0,0,0
