                code_smells vulnerabilities
code_smells      149756.179      -1757.2962
vulnerabilities   -1757.296        147.3582
            CSmell          SVul
  [1,] 1380.644484  11.857885675
  [2,] 1524.073004  27.166174837
  [3,]  907.808120   1.172640429
  [4,]  735.835850  11.323664109
  [5,] 1363.310943  19.827487106
  [6,]  410.943909  14.567065168
  [7,]  968.425635   7.276723255
  [8,]  807.036797  20.238117570
  [9,] 1553.842596  -7.730449531
 [10,]  934.648489  28.114359634
 [11,] 1036.935216  27.088365457
 [12,]  544.461059  36.937118913
 [13,]  873.102792   2.050294234
 [14,]  940.478470  13.120317293
 [15,]  858.781563  14.055347334
 [16,] 1187.801449   3.288927894
 [17,]  769.865457  34.346567423
 [18,]  950.170805   8.013898204
 [19,] 1438.192244  14.649238306
 [20,] 1164.375853   8.978121613
 [21,]  897.620605  22.776207800
 [22,] 2029.657876  -3.667290240
 [23,] 1133.022470   3.656900982
 [24,] 1136.283102  12.041503908
 [25,]  940.673222  36.074158200
 [26,] 1644.052405   1.615900713
 [27,]  658.883587  20.719400443
 [28,]  421.288641  24.828478370
 [29,]  628.021582   9.154675697
 [30,]  317.940948  41.406334782
 [31,]  638.856204  30.075980117
 [32,]  519.160722  16.991884646
 [33,] 1240.265732   4.542481626
 [34,]  319.342110  26.774770684
 [35,] 1479.509094  17.721247096
 [36,] 1445.572710   5.560241698
 [37,] 1046.290427   3.416053928
 [38,]  480.566039  15.847076378
 [39,]  999.046275  -0.531714784
 [40,]  625.680907  13.825842185
 [41,] 1414.710256   4.232814668
 [42,]  593.322278   4.397662890
 [43,]  859.692513  24.082719653
 [44,] 1022.273283  -6.442272292
 [45,] -204.614517  42.418400737
 [46,]  970.758267   9.563421269
 [47,]  747.415872  26.576868214
 [48,]  714.047652  13.116309340
 [49,]  677.381850  18.747230240
 [50,] 1227.558668  18.403179447
 [51,]  576.637952  14.548881631
 [52,]  730.485985  39.862453757
 [53,] 1652.643975  36.063070352
 [54,]  568.511481  20.188318872
 [55,]  545.341245   6.054127698
 [56,]  845.758202  19.322477027
 [57,] 1380.737545  21.164090079
 [58,] 1436.766884   1.580026067
 [59,] 1279.536637  14.584932619
 [60,]  700.502489  33.382796526
 [61,]  663.851507  17.420215885
 [62,] 1355.187675  15.439905859
 [63,]  602.213387  12.854975440
 [64,]  128.932667  31.090091243
 [65,]  917.403421  28.470461076
 [66,]  877.259399  10.467094408
 [67,]  464.768185  24.368672374
 [68,]  777.330687  -0.456434935
 [69,]  809.046989  10.159174417
 [70,]  715.983939  33.774510325
 [71,]  287.541351  30.433678810
 [72,]  718.370658   8.342859857
 [73,]  316.840816  32.828908051
 [74,]  355.773460  11.331908315
 [75,]  495.778476   7.018044199
 [76,]  568.136117  18.127161024
 [77,] 1548.497256  -6.382235705
 [78,]  336.816321  22.006157581
 [79,] 1950.021435  20.373841561
 [80,]  853.611658  20.112262551
 [81,]  621.787722  23.904189312
 [82,]  716.094609   8.083511224
 [83,] 1035.642223  29.233336651
 [84,] 1053.308554  -7.659832383
 [85,]  294.774516  25.366791951
 [86,] 1481.644355  17.444909443
 [87,] 1329.424333  16.943477711
 [88,]  959.153392   5.772170662
 [89,] 1105.363565  17.053227547
 [90,]  639.690337  38.399784953
 [91,] 1649.606971   8.011372263
 [92,]  736.151095  12.498753374
 [93,]  787.449462  13.583719401
 [94,]  904.445910  11.406182889
 [95,] 1209.406736  13.329814649
 [96,]  859.822832   2.507992555
 [97,]  845.857988  27.768271095
 [98,] 1254.097106   9.379965829
 [99,] 1139.831155  28.156785764
[100,] 1066.509164  -0.887607297
[101,] 1047.947903   1.101802302
[102,]  938.245755  17.627058783
[103,]  747.869826  26.757333593
[104,]  134.862323  54.565776634
[105,]  305.600032  27.385576101
[106,] 1122.328704   7.448229553
[107,]  212.552909  40.052930316
[108,] 1137.613278  31.103534001
[109,]  556.837217  20.142335377
[110,] 1166.895945   2.960628625
[111,]  956.650361  17.973132821
[112,] 1309.893687  27.028790928
[113,]  510.106598  25.546085272
[114,] 1091.024754  22.369587797
[115,] 1039.797447  23.584873232
[116,]  626.540188  20.015259584
[117,] 1723.036302 -14.581164367
[118,] 1313.018098  18.228113012
[119,]  648.585471  18.846087943
[120,]  972.734712  18.545676667
[121,]   57.434663  25.689191460
[122,] 1564.722804 -10.678391185
[123,] 1194.275600  14.845115256
[124,]  577.731036  24.116613940
[125,] 1254.798000  16.125665843
[126,] 1466.197593  10.537793160
[127,] 1335.976302  20.723301982
[128,]  623.373372  23.996492840
[129,] 1207.982724  25.140371121
[130,]  883.216454  14.456031020
[131,]  690.921263  21.084154621
[132,]  450.307883  26.164729135
[133,]  503.371362  42.418475031
[134,] 1208.178242   8.408069529
[135,] 1885.366277  30.173613739
[136,]  708.078630  16.000452552
[137,] 1898.683226   4.683526741
[138,] 1246.708579  22.281312466
[139,]  952.888920  20.793283581
[140,]   97.923618  31.142519322
[141,]  383.952334  20.617657378
[142,] 1293.056721 -10.032534924
[143,]  448.395346  36.593550203
[144,]  947.420783  16.164311563
[145,]  381.380687   4.766637534
[146,] 1179.963868  20.422009315
[147,]  886.713199  13.467297611
[148,]  605.957219  33.587490040
[149,]  523.016011  30.456782271
[150,] 1292.606916   4.841395691
[151,]  487.413618   4.637784476
[152,] 1131.289328  15.879460949
[153,] 1005.803413  24.494025813
[154,]  631.542810  24.297504585
[155,]  619.285099  20.563193125
[156,]  714.201963  11.369710961
[157,]  291.495892  18.487186185
[158,]  810.471493  16.001879033
[159,]  888.573166  24.910765743
[160,]  460.823484  21.973341850
[161,] 1424.471393   9.147867931
[162,]  568.728496  12.331019850
[163,]  786.350192  19.172239877
[164,] 1380.530080  24.122090327
[165,]  432.601235  31.110543238
[166,]  662.066642  28.442373022
[167,] 1365.955231   4.362694942
[168,] 1647.205798  13.158828943
[169,] 1352.905451  23.940617421
[170,]  966.796934  14.990317911
[171,] 1343.474251   2.863771291
[172,]  986.222818   5.081666617
[173,]  893.184854  13.644813165
[174,] 1450.049562  10.043160136
[175,]  949.429202  10.792349094
[176,]  571.300088  26.143173736
[177,] 1441.616123   9.125921250
[178,] 1101.853497  16.679971563
[179,]  602.518087   6.077548787
[180,] 1481.010844  27.423943926
[181,]  511.596521  13.213608300
[182,] 1846.561960  11.038606746
[183,] 1014.495461   6.512368709
[184,]  483.168904  14.529028366
[185,] 1189.734233   2.497309599
[186,] 1235.975312   3.829482114
[187,]  656.109154  29.747239611
[188,]  987.020625  11.867491994
[189,]  932.157191  14.823353268
[190,]  870.270311   7.130961447
[191,]  262.731010  28.597678563
[192,] 1492.776217  -3.817054182
[193,]  660.323626  30.185174650
[194,]  850.588077  38.531148672
[195,] 1143.278170  17.040119956
[196,] 1498.613737   8.387693044
[197,]  946.716549  15.814776127
[198,] 1080.715130 -11.527234973
[199,] 1167.276255   2.797580151
[200,] 1043.218937  27.458739607
[201,]  749.342070  29.024464407
