RELY,DATA,CPLX,RUSE,PVOL,ACAP,APEX,RISK1,RISK2,RISK3,RISK4,RISK5
0.92,1,1,1.001149441,1.016564116,0.985717865,1.012724776,1,0,0,0,0
1,1,1,0.989945094,1.021904419,1.002145483,0.979870098,0,1,0,0,0
1.1,1,1,1.045634901,1.013817619,1.003325604,1.044514263,0,0,1,0,0
1.26,1,1,1.040660442,0.999762484,0.990390157,0.978441405,0,0,0,1,0
0.975428688,1,0.87,0.982983929,1.038118758,1.007411029,0.995674238,1,0,0,0,0
1.037393514,1,1,0.96856726,0.991126675,0.989103253,1.025267575,0,1,0,0,0
0.981835192,1,1.17,1.013399952,0.980931577,0.983095824,0.992788556,0,0,1,0,0
0.994636801,0.9,1.006783437,1.021506259,1.002797546,0.991472294,0.972461814,1,0,0,0,0
0.970708494,1,0.992940795,0.956463907,1.000092662,0.994823394,1.014290097,0,1,0,0,0
0.978745655,1.14,0.996081732,1.003716238,1.014836199,0.992894525,0.986792467,0,0,1,0,0
0.98886726,1.28,0.999013765,1.011271949,0.981431893,1.031455203,0.985905823,0,0,0,1,0
1.015286251,1.014079303,1.01825023,0.995712863,1.005250706,0.978120316,0.88,0,0,0,0,1
0.989557219,1.027889412,0.974276134,0.993915677,0.961374393,1.004676116,1,0,0,0,1,0
1.034848345,0.988416001,0.972879572,0.996681414,0.966376062,0.986544723,1.1,0,0,1,0,0
1.021819301,1.034475325,1.023793999,1.015893236,1.024358677,0.71,1,0,0,0,0,1
1.000026443,1.000319464,0.98349153,0.979605628,0.985060696,0.85,0.981663154,0,0,0,1,0
1.001082739,1.00061453,1.033053253,1.005166719,1.00954638,1,0.98732222,0,0,1,0,0
0.998405265,0.985838573,0.98174947,0.999868697,0.87,0.993242874,1.004947373,1,0,0,0,0
0.958539941,1.016648629,1.014121453,0.979684531,1,0.941203919,0.974046612,0,1,0,0,0
1.010040703,1.002841295,1.014529332,1,1.15,0.980602473,0.97384128,0,0,1,0,0
0.953940274,0.979683181,0.972585412,0.95,0.973802848,0.979404951,1.016170216,1,0,0,0,0
0.978712599,1.003858907,1.01888436,1,0.999002376,1.000412308,0.992953659,0,1,0,0,0
1.00685799,1.04422904,0.978995854,1.07,0.989280864,1.0468501,0.995881157,0,0,1,0,0
1.025646149,0.982561507,1.027816692,1.15,1.02239437,0.973692969,1.039662361,0,0,0,1,0
1.013194718,1.016602772,1.021822152,1,1.020341629,0.988178786,0.988453723,0,1,0,0,0
1.051059078,0.997971852,0.978217402,1.07,1.020257183,1.044538024,1.040160594,0,0,1,0,0
1.023735054,0.992479359,1.013396906,1.15,0.983931059,1.033157609,1.020060831,0,0,0,1,0
0.997215464,0.967540079,0.99847014,1,1.013201006,1.020992486,0.999241009,0,1,0,0,0
1.010592625,1.009749239,0.981946032,1.07,1.026548883,1.039572277,1.015930654,0,0,1,0,0
1.039918641,1.000540766,1.005715937,1.15,0.9959103,1.017564757,1.036423872,0,0,0,1,0
1.014023993,1.014655313,1.020181365,1,1.003366779,0.992937285,0.992801733,0,1,0,0,0
0.98354146,1.029481944,1.001502,1.07,1.000426882,0.95297181,1.017300826,0,0,1,0,0
1.012413517,0.981526313,0.960529582,1.15,0.954308846,0.987164788,0.976410934,0,0,0,1,0
0.987347487,1.01855871,1.023692596,1,1.034543505,1.01605495,1.019751149,0,1,0,0,0
0.999041982,0.998773352,0.994235567,1.07,1.018426113,0.974573964,0.987904831,0,0,1,0,0
1.005332101,0.97908571,0.996138403,1.15,1.011278452,1.007477325,0.990172353,0,0,0,1,0
0.997856362,0.973518409,0.993706651,1,0.997743515,0.989180866,0.951892997,0,1,0,0,0
0.976285219,0.974699475,0.995562741,1.07,1.042501693,0.978678273,0.993193704,0,0,1,0,0
0.980455245,1.004387935,0.988170986,1.15,0.995986872,1.043296489,0.982997263,0,0,0,1,0
0.999809385,1.020250772,1.022264605,1,1.051304693,0.972478335,1.002225122,0,1,0,0,0
0.998065741,1.006095489,1.011727085,1.07,1.033263052,0.993284964,0.979326168,0,0,1,0,0
0.96775837,1.012838029,0.991098186,1.15,1.031296643,0.995165876,1.000188483,0,0,0,1,0
1.017004246,0.977510058,0.990334249,1,0.999311233,0.996004281,1.035784342,0,1,0,0,0
1.000809619,0.995765035,0.984043713,1.07,0.99765838,0.968765195,1.026764393,0,0,1,0,0
0.990216942,0.959549918,1.001620028,1.15,0.986489863,0.993026952,0.997466092,0,0,0,1,0
0.989660386,1.010394247,0.983491849,1,1.039829835,0.986295863,1.007208105,0,1,0,0,0
1.014361234,0.968258603,1.019492706,1.07,0.978545084,0.986835028,1.015886253,0,0,1,0,0
1.03093075,0.993265133,0.975783541,1.15,0.974231846,0.985135289,1.003333763,0,0,0,1,0
0.970708494,1,0.992940795,0.956463907,1.000092662,0.994823394,1.014290097,0,1,0,0,0
0.978745655,1.14,0.996081732,1.003716238,1.014836199,0.992894525,0.986792467,0,0,1,0,0
