RELY,DATA,CPLX,RUSE,PVOL,ACAP,APEX,RISK1,RISK2,RISK3,RISK4,RISK5
0.944881463,1.007843087,1.041660045,0.932646262,1.016564116,0.985717865,1.012724776,1,0,0,0,0
0.988987801,0.974526264,1.011290762,0.899690183,1.021904419,1.002145483,0.979870098,0,1,0,0,0
1.030532716,0.989313606,0.985337194,1.064310359,1.013817619,1.003325604,1.044514263,0,0,1,0,0
1.315068633,1.038940838,1.020528843,1.142754257,0.999762484,0.990390157,0.978441405,0,0,0,1,0
1.035088461,1.032495195,0.834773099,1.01987514,1.038118758,1.007411029,0.995674238,1,0,0,0,0
1.09436486,0.997839769,0.929708612,0.986367183,0.991126675,0.989103253,1.025267575,0,1,0,0,0
1.010479828,1.043864138,1.275611639,1.04610498,0.980931577,0.983095824,0.992788556,0,0,1,0,0
0.966688667,0.855646312,1.02937514,1.070093773,1.002797546,0.991472294,0.972461814,1,0,0,0,0
1.066782378,1.079919957,1.044084304,0.8693828,1.000092662,0.994823394,1.014290097,0,1,0,0,0
0.920134374,1.231099193,0.962148592,0.981984697,1.014836199,0.992894525,0.986792467,0,0,1,0,0
1.036226606,1.235856738,0.995836099,0.943494617,0.981431893,1.031455203,0.985905823,0,0,0,1,0
1.085452574,1.085610282,1.02607615,0.971254284,1.005250706,0.978120316,0.88,0,0,0,0,1
1.081956802,0.985885039,1.007331257,1.000688558,0.961374393,1.004676116,1,0,0,0,1,0
1.085854369,0.920589538,0.998913486,0.897277933,0.966376062,0.986544723,1.1,0,0,1,0,0
1.110244466,0.967339987,0.931673548,0.970339196,1.024358677,0.71,1,0,0,0,0,1
1.015315074,0.957846911,0.96147997,0.932040868,0.985060696,0.85,0.981663154,0,0,0,1,0
1.059720012,0.990181579,0.979690095,0.946103536,1.00954638,1,0.98732222,0,0,1,0,0
0.907408771,1.037428578,0.993303306,0.930772336,0.87,0.993242874,1.004947373,1,0,0,0,0
0.892588426,0.9697361,0.949923299,0.909641976,1,0.941203919,0.974046612,0,1,0,0,0
0.995681675,1.059738226,0.946047128,0.985310739,1.15,0.980602473,0.97384128,0,0,1,0,0
0.978645881,0.936776146,0.986248206,0.941052762,0.973802848,0.979404951,1.016170216,1,0,0,0,0
0.915924593,1.067002635,0.924267465,1.020873626,0.999002376,1.000412308,0.992953659,0,1,0,0,0
0.932671003,1.051161823,1.059837647,1.141336248,0.989280864,1.0468501,0.995881157,0,0,1,0,0
0.944356415,0.929502083,0.956070477,1.264643232,1.02239437,0.973692969,1.039662361,0,0,0,1,0
0.944504043,1.049134717,0.953022708,1.071677008,1.020341629,0.988178786,0.988453723,0,1,0,0,0
1.040491,0.991215702,1.00630893,1.060030916,1.020257183,1.044538024,1.040160594,0,0,1,0,0
0.982879354,1.010314396,0.957431608,1.119418565,0.983931059,1.033157609,1.020060831,0,0,0,1,0
1.053807396,0.906706535,1.070435523,0.94741542,1.013201006,1.020992486,0.999241009,0,1,0,0,0
1.008645856,1.084482008,0.907639643,1.098305265,1.026548883,1.039572277,1.015930654,0,0,1,0,0
1.007441902,1.097831526,0.998292247,1.104961467,0.9959103,1.017564757,1.036423872,0,0,0,1,0
1.054267881,1.053498796,1.01102214,0.938056149,1.003366779,0.992937285,0.992801733,0,1,0,0,0
0.982401968,0.992810735,0.998193589,1.065826727,1.000426882,0.95297181,1.017300826,0,0,1,0,0
0.982026956,1.048019549,0.969529189,1.174724847,0.954308846,0.987164788,0.976410934,0,0,0,1,0
0.99486368,1.032026577,0.991593293,0.979811219,1.034543505,1.01605495,1.019751149,0,1,0,0,0
0.926137222,0.965602881,1.015375178,0.974782932,1.018426113,0.974573964,0.987904831,0,0,1,0,0
0.97116016,1.04319213,1.024168452,1.060691976,1.011278452,1.007477325,0.990172353,0,0,0,1,0
1.01525686,1.050494295,1.017395256,0.920693288,0.997743515,0.989180866,0.951892997,0,1,0,0,0
0.991017138,0.890903571,0.998672348,1.030169728,1.042501693,0.978678273,0.993193704,0,0,1,0,0
0.922008127,0.908006045,1.041404945,1.041724363,0.995986872,1.043296489,0.982997263,0,0,0,1,0
1.064741991,1.119559504,1.091560683,0.915408454,1.051304693,0.972478335,1.002225122,0,1,0,0,0
1.054672982,1.083988107,0.99797261,1.149799446,1.033263052,0.993284964,0.979326168,0,0,1,0,0
0.952835413,1.09244927,0.896530666,1.109983031,1.031296643,0.995165876,1.000188483,0,0,0,1,0
1.068200612,0.94911822,0.98764154,1.007171832,0.999311233,0.996004281,1.035784342,0,1,0,0,0
0.914237037,1.022971924,1.03849633,1.167261962,0.99765838,0.968765195,1.026764393,0,0,1,0,0
0.894594252,0.945373481,0.902868222,1.231062739,0.986489863,0.993026952,0.997466092,0,0,0,1,0
1.020546235,1.035503135,1.081014515,1.009411225,1.039829835,0.986295863,1.007208105,0,1,0,0,0
1.059966644,1.03394137,1.080978508,1.133110604,0.978545084,0.986835028,1.015886253,0,0,1,0,0
1.073983209,1.011205933,1.008577587,1.233207354,0.974231846,0.985135289,1.003333763,0,0,0,1,0
0.984234488,0.974680148,0.982534514,1.040476241,1.000092662,0.994823394,1.014290097,0,1,0,0,0
0.942667746,1.096855116,0.920905216,1.065840023,1.014836199,0.992894525,0.986792467,0,0,1,0,0
1.068015687,1.294306155,0.904357385,1.001584251,0.981431893,1.031455203,0.985905823,0,0,0,1,0
1.074015884,1.009349047,0.951450374,0.959258643,1.005250706,0.978120316,0.88,0,0,0,0,1
1.086472116,1.083954732,1.027787193,1.083819638,0.961374393,1.004676116,1,0,0,0,1,0
0.944853191,1.044249521,0.954938445,1.014678701,0.966376062,0.986544723,1.1,0,0,1,0,0
0.922884697,1.128560042,1.075114836,0.969323477,1.024358677,0.71,1,0,0,0,0,1
0.972630447,1.060817192,1.045359404,0.942097586,0.985060696,0.85,0.981663154,0,0,0,1,0
0.975844541,0.964319485,0.936400263,0.976560638,1.00954638,1,0.98732222,0,0,1,0,0
0.910816735,1.029496553,1.047149737,1.021193747,0.87,0.993242874,1.004947373,1,0,0,0,0
0.881483402,1.100730305,0.941066211,0.993699184,1,0.941203919,0.974046612,0,1,0,0,0
